model_name,best_params,train_score,test_accuracy_score,test_macro_f1_score,test_weighted_f1_score,test_macro_recall_score,test_weighted_recall_score,test_macro_precision_score,test_weighted_precision_score,test_positive_f1_score,test_negative_f1_score,test_TP,test_TN,test_FP,test_FN,total_samples,total_time
Decision Tree,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8468645439827307,0.8450704225352113,0.8444731203351893,0.8445545706351921,0.8446070340274251,0.8450704225352113,0.8489356650745367,0.8492408158013254,0.8541114058355437,0.8348348348348349,161,139,37,18,355,0:00:31.558782
Random Forest,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__n_estimators': 500, 'model__random_state': 42, 'selector__k': 30, 'augmentation': 0, 'gabor': 0}",0.8901983270372369,0.8816901408450705,0.880658897355446,0.8807526467635937,0.8809674961909599,0.8816901408450705,0.8927734856408557,0.8933276528806449,0.8917525773195876,0.8695652173913044,173,140,36,6,355,0:05:42.009769
KNN,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 40, 'augmentation': 0, 'gabor': 0}",0.8534747706422019,0.8225352112676056,0.817668207498716,0.8179199490729689,0.8212131792788218,0.8225352112676056,0.856477012815041,0.8574026983117893,0.8474576271186441,0.7878787878787878,175,117,59,4,355,0:00:36.353137
SVM,"{'model__C': 1.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__random_state': 42, 'selector__k': 40, 'augmentation': 0, 'gabor': 0}",0.8990124123043713,0.9014084507042254,0.9007912744229127,0.9008574004530534,0.9008062468257999,0.9014084507042254,0.9094328338554898,0.9099142968445657,0.9086161879895561,0.8929663608562692,174,146,30,5,355,0:06:10.428297
Decision Tree,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.8203770132942803,0.8366197183098592,0.8360459931201427,0.8361279538615306,0.836179532757745,0.8366197183098592,0.8399819724101856,0.8402621602518794,0.8457446808510638,0.8263473053892215,159,138,38,20,355,0:00:20.004317
Random Forest,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__n_estimators': 500, 'model__random_state': 42, 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.8800133575273674,0.8676056338028169,0.8660710702274023,0.866192219983356,0.8667629507364145,0.8676056338028169,0.8822992838718533,0.8829290117319547,0.8804071246819338,0.8517350157728707,173,135,41,6,355,0:04:00.502110
KNN,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.848740093702647,0.8225352112676056,0.817668207498716,0.8179199490729689,0.8212131792788218,0.8225352112676056,0.856477012815041,0.8574026983117893,0.8474576271186441,0.7878787878787878,175,117,59,4,355,0:00:25.049422
SVM,"{'model__C': 1.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__random_state': 42, 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.8834214798149453,0.9042253521126761,0.9032852564102565,0.9033658360418924,0.9034567039106145,0.9042253521126761,0.9176972313078047,0.9183287256450764,0.9128205128205128,0.89375,178,143,33,1,355,0:04:38.643630
