model_name,best_params,train_score,test_accuracy_score,test_macro_f1_score,test_weighted_f1_score,test_macro_recall_score,test_weighted_recall_score,test_macro_precision_score,test_weighted_precision_score,test_positive_f1_score,test_negative_f1_score,test_TP,test_TN,test_FP,test_FN,total_samples,total_time
Decision Tree,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8468645439827307,0.8450704225352113,0.8444731203351893,0.8445545706351921,0.8446070340274251,0.8450704225352113,0.8489356650745367,0.8492408158013254,0.8541114058355437,0.8348348348348349,161,139,37,18,355,0:00:29.933128
Random Forest,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__n_estimators': 200, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8890947112790071,0.8704225352112676,0.8692930780559647,0.8693957559791741,0.8696990858303708,0.8704225352112676,0.8811569291214284,0.8816936488169365,0.8814432989690721,0.8571428571428572,171,138,38,8,355,0:04:57.638027
KNN,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 40, 'augmentation': 0, 'gabor': 0}",0.8545797355639504,0.8225352112676056,0.817668207498716,0.8179199490729689,0.8212131792788218,0.8225352112676056,0.856477012815041,0.8574026983117893,0.8474576271186441,0.7878787878787878,175,117,59,4,355,0:00:27.986356
SVM,"{'model__C': 2.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__max_iter': 10000, 'model__random_state': 42, 'selector__k': 40, 'augmentation': 0, 'gabor': 0}",0.9023165137614679,0.9070422535211268,0.9065409377019362,0.9065987818349198,0.9064880650076181,0.9070422535211268,0.9139055910562058,0.9143532000258849,0.9133858267716535,0.8996960486322189,174,148,28,5,355,0:16:37.000409
Decision Tree,"{'model__criterion': 'entropy', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.817634441837485,0.8535211267605634,0.8531003310415075,0.853166772470832,0.8531297613001523,0.8535211267605634,0.8563091368725171,0.8565705128205128,0.8609625668449198,0.8452380952380951,161,142,34,18,355,0:00:31.673289
Random Forest,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__n_estimators': 200, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.8662859256969714,0.856338028169014,0.8542986134024352,0.8544442858857623,0.855399314372778,0.856338028169014,0.8742040268127212,0.87489118060671,0.871536523929471,0.8370607028753994,173,131,45,6,355,0:06:25.106028
KNN,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.8357062908898474,0.828169014084507,0.8240989692061507,0.8243250828105038,0.8269426104621636,0.828169014084507,0.8574011022657686,0.8582608695652174,0.8508557457212714,0.7973421926910299,174,120,56,5,355,0:00:37.334580
SVM,"{'model__C': 2.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__max_iter': 10000, 'model__random_state': 42, 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.8788264935770449,0.9070422535211268,0.906181678398962,0.9062576114979765,0.9062976130015237,0.9070422535211268,0.9197465251277781,0.9203612479474548,0.9151670951156812,0.897196261682243,178,144,32,1,355,0:23:14.007870
