model_name,best_params,train_score,test_accuracy_score,test_macro_f1_score,test_weighted_f1_score,test_macro_recall_score,test_weighted_recall_score,test_macro_precision_score,test_weighted_precision_score,test_positive_f1_score,test_negative_f1_score,test_TP,test_TN,test_FP,test_FN,total_samples,total_time
Decision Tree,"{'model__criterion': 'entropy', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 30, 'augmentation': 0, 'gabor': 0}",0.7871905381457225,0.8,0.7989214114193173,0.7990458639478576,0.7994381665820214,0.8,0.804911667637352,0.805231993787614,0.8136482939632547,0.7841945288753799,155,129,47,24,355,0:00:58.675429
Random Forest,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__n_estimators': 500, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8296161412432393,0.8760563380281691,0.8753352062316435,0.8754153319868129,0.875476130015236,0.8760563380281691,0.882931710042469,0.8833614207933627,0.8848167539267016,0.8658536585365854,169,142,34,10,355,0:10:56.122772
KNN,"{'model__n_neighbors': 3, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8006306553331506,0.8253521126760563,0.8232185311315299,0.8233826527888013,0.8244826053834433,0.8253521126760563,0.8390473070984044,0.8396179401993356,0.8426395939086295,0.8037974683544303,166,127,49,13,355,0:01:04.830604
SVM,"{'model__C': 2.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8698958231735932,0.8929577464788733,0.8925818575614728,0.8926355559782443,0.8925215845606906,0.8929577464788733,0.8969553102202498,0.8972884405320312,0.898936170212766,0.8862275449101796,169,148,28,10,355,0:15:39.310552
Decision Tree,"{'model__criterion': 'entropy', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 30, 'augmentation': 1, 'gabor': 0}",0.7597295046573315,0.8309859154929577,0.8306836248012718,0.830744082939609,0.8306881665820214,0.8309859154929577,0.8324103733626379,0.8325884305963478,0.8378378378378377,0.8235294117647058,155,140,36,24,355,0:00:58.014660
Random Forest,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__n_estimators': 500, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.8164690128102319,0.8788732394366198,0.8784062577166025,0.8784699370420594,0.8784122651091925,0.8788732394366198,0.8831620230292518,0.8835006112076176,0.8859416445623343,0.8708708708708709,167,145,31,12,355,0:12:48.909063
KNN,"{'model__n_neighbors': 3, 'model__p': 2, 'model__weights': 'distance', 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.7853732290831328,0.8084507042253521,0.8074960127591706,0.8076105757351125,0.807913280853225,0.8084507042253521,0.8130694615453918,0.8133843768172127,0.8210526315789474,0.793939393939394,156,131,45,23,355,0:01:09.115995
SVM,"{'model__C': 2.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.845956834865215,0.8901408450704226,0.8899172292059252,0.8899591571805184,0.8898235144743525,0.8901408450704226,0.8921791742273684,0.8924143660531698,0.894878706199461,0.8849557522123894,166,150,26,13,355,0:20:00.044584
