model_name,best_params,train_score,test_accuracy_score,test_macro_f1_score,test_weighted_f1_score,test_macro_recall_score,test_weighted_recall_score,test_macro_precision_score,test_weighted_precision_score,test_positive_f1_score,test_negative_f1_score,test_TP,test_TN,test_FP,test_FN,total_samples,total_time
Decision Tree,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__random_state': 42, 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8468645439827307,0.8450704225352113,0.8444731203351893,0.8445545706351921,0.8446070340274251,0.8450704225352113,0.8489356650745367,0.8492408158013254,0.8541114058355437,0.8348348348348349,161,139,37,18,355,0:00:43.350360
Random Forest,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__n_estimators': 500, 'model__random_state': 42, 'selector__k': 30, 'augmentation': 0, 'gabor': 0}",0.8905666486778199,0.8788732394366198,0.8777518839744052,0.877850827103424,0.8781265871000508,0.8788732394366198,0.8906454820879298,0.8912151067323482,0.8894601542416453,0.8660436137071651,173,139,37,6,355,0:05:58.606667
KNN,"{'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 'all', 'augmentation': 0, 'gabor': 0}",0.8520116028062601,0.8253521126760563,0.820038592360021,0.8202999130313013,0.8239588623666836,0.8253521126760563,0.8639450519896897,0.8649431452478009,0.8509615384615385,0.7891156462585034,177,116,60,2,355,0:00:42.608326
SVM,"{'model__C': 2.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__random_state': 42, 'selector__k': 40, 'augmentation': 0, 'gabor': 0}",0.8997456826767405,0.9070422535211268,0.9065409377019362,0.9065987818349198,0.9064880650076181,0.9070422535211268,0.9139055910562058,0.9143532000258849,0.9133858267716535,0.8996960486322189,174,148,28,5,355,0:07:16.859234
Decision Tree,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__random_state': 42, 'selector__k': 20, 'augmentation': 1, 'gabor': 0}",0.8115393081098295,0.8169014084507042,0.8165287153432086,0.8165985953008642,0.8165788471305231,0.8169014084507042,0.8184986066706992,0.8186828987730062,0.8247978436657682,0.808259587020649,153,137,39,26,355,0:00:37.287271
Random Forest,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__n_estimators': 200, 'model__random_state': 42, 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.8653736459811456,0.8676056338028169,0.8660710702274023,0.866192219983356,0.8667629507364145,0.8676056338028169,0.8822992838718533,0.8829290117319547,0.8804071246819338,0.8517350157728707,173,135,41,6,355,0:07:01.874607
KNN,"{'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance', 'selector__k': 'all', 'augmentation': 1, 'gabor': 0}",0.8360106963391731,0.8253521126760563,0.8213706012206207,0.8215959697935697,0.824149314372778,0.8253521126760563,0.853087667196776,0.8539197338323976,0.8480392156862746,0.7947019867549667,173,120,56,6,355,0:00:48.036095
SVM,"{'model__C': 2.0, 'model__degree': 5, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__random_state': 42, 'selector__k': 40, 'augmentation': 1, 'gabor': 0}",0.8797490762465403,0.9126760563380282,0.9119607043143654,0.9120277685665839,0.9119794311833418,0.9126760563380282,0.9239025729468385,0.9244832548403976,0.9198966408268733,0.9040247678018576,178,146,30,1,355,0:09:15.582244
