feature_name,importance
range_grayscale,0.27450733854034093
std_histogram,0.25519583621676833
range_blue,0.2544279319544758
range_green,0.25432435966353295
max_grayscale,0.24936795905238385
std_red,0.24812485811039675
max_red,0.2450544430783521
range_red,0.24504117045480367
kurtosis_histogram,0.24498445852433193
skewness_histogram,0.24264784490156877
R_histogram,0.24111188336579525
entropy_histogram,0.24025473121844132
mean_histogram,0.2369584753187557
uniformity_histogram,0.23673814167370244
max_blue,0.23253837115118126
std_blue,0.22947912507136436
max_green,0.2241196035622881
std_grayscale,0.21614749249791676
std_green,0.19821426245807894
contrast_coocurrence_matrix,0.1870012082898842
has_blue_color,0.17386495000374125
dissimilarity_coocurrence_matrix,0.1731408247103905
mean_red,0.16420301101292112
median_red,0.16073835928254332
quantile_0.25_blue,0.1599598849729904
quantile_0.75_blue,0.15973462033332653
energy_coocurrence_matrix,0.1570642375543143
min_blue,0.1546214099784724
quantile_0.25_green,0.1402628057814228
min_green,0.1382303424409994
quantile_0.75_green,0.1283284615666771
quantile_0.25_grayscale,0.12809631796701249
homogeneity_coocurrence_matrix,0.126231456025383
min_grayscale,0.11936016781688741
quantile_0.75_grayscale,0.11553957116519675
min_histogram,0.10923188613192925
mean_grayscale,0.10777303920965187
mean_green,0.10522325744212835
iqr_red,0.10226187497649253
correlation_coocurrence_matrix,0.10051609957075613
quantile_0.25_red,0.09991901580509577
skewness_blue,0.09963051032253945
median_grayscale,0.09364110885604116
quantile_0.75_red,0.09053262956891772
min_red,0.08908293640987064
entropy_red,0.08835372331989277
iqr_green,0.08702998663546202
range_histogram,0.08498955039802558
mode_red,0.08438371569727998
iqr_blue,0.08250733902770513
skewness_grayscale,0.08146053994069002
median_histogram,0.07806390646643857
mode_histogram,0.0742968881716346
entropy_grayscale,0.07237183805424574
max_histogram,0.07183272887169156
mean_blue,0.0694624525029679
median_green,0.06881487438269485
entropy_blue,0.06849866534970084
iqr_grayscale,0.06723355458771163
mode_blue,0.0670806041655505
entropy_green,0.0645661566260991
median_blue,0.0575223251059942
skewness_green,0.05613807525701198
mode_grayscale,0.049073319977610774
skewness_red,0.040240729205847314
kurtosis_grayscale,0.03366251335021686
kurtosis_blue,0.029313849487679455
mode_green,0.02562739186499563
kurtosis_red,0.022468928072712613
kurtosis_green,0.01560312082934523
